,Produto,Preço,Link,Data
0,"Placa de Vídeo RX 550 Sapphire AMD Radeon Pulse, 4 GB GDDR5 - 11268-01-20G","R$ 799,99",https://www.kabum.com.br/produto/89279/placa-de-video-rx-550-sapphire-amd-radeon-pulse-4-gb-gddr5-11268-01-20g,05/12/2022 05:32:19
1,"Placa de Vídeo RX 580 PowerColor Red Dragon AMD Radeon, 8GB GDDR5 - AXRX 580 8GBD5-DHD","R$ 1.059,99",https://www.kabum.com.br/produto/382632/placa-de-video-rx-580-powercolor-red-dragon-amd-radeon-8gb-gddr5-axrx-580-8gbd5-dhd,05/12/2022 05:32:19
2,"Placa de Vídeo Gigabyte AMD Radeon RX 6700 XT Eagle, 12GB GDDR6, RGB, Ray Tracing - GV-R67XTEAGLE-12GD","R$ 2.619,99",https://www.kabum.com.br/produto/387409/placa-de-video-gigabyte-amd-radeon-rx-6700-xt-eagle-12gb-gddr6-rgb-ray-tracing-gv-r67xteagle-12gd,05/12/2022 05:32:19
3,"Placa de Vídeo Gigabyte Radeon RX 6600 EAGLE, 8GB GDDR6, Preto - GV-R66EAGLE-8GD","R$ 1.699,99",https://www.kabum.com.br/produto/246836/placa-de-video-gigabyte-radeon-rx-6600-eagle-8gb-gddr6-preto-gv-r66eagle-8gd,05/12/2022 05:32:19
4,"Placa de Vídeo RX 550 PCYes AMD Radeon, 4GB GDDR5, Graffiti Series - PJRX550DR5128B","R$ 679,99",https://www.kabum.com.br/produto/351614/placa-de-video-rx-550-pcyes-amd-radeon-4gb-gddr5-graffiti-series-pjrx550dr5128b,05/12/2022 05:32:19
5,"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF","R$ 1.799,99",https://www.kabum.com.br/produto/235984/placa-de-video-rx-6600-cld-8g-asrock-amd-radeon-8gb-gddr6-90-ga2rzz-00uanf,05/12/2022 05:32:19
6,"Placa de Vídeo RX 6700 XT XFX Speedster QICK319 AMD Radeon Black Gaming, 12GB GDDR6, 16Gbps, AMD RDNA 2 Architecture - RX-67XTYPBDP","R$ 3.699,99",https://www.kabum.com.br/produto/165713/placa-de-video-rx-6700-xt-xfx-speedster-qick319-amd-radeon-black-gaming-12gb-gddr6-16gbps-amd-rdna-2-architecture-rx-67xtypbdp,05/12/2022 05:32:19
7,"Placa de Vídeo RX 6800 XT ASRock AMD Radeon, 16GB GDDR6 - RADEON RX6800XT PGD 16GO","R$ 5.599,99",https://www.kabum.com.br/produto/131631/placa-de-video-rx-6800-xt-asrock-amd-radeon-16gb-gddr6-radeon-rx6800xt-pgd-16go,05/12/2022 05:32:19
8,"Placa de Vídeo R7 240 PCYes AMD Radeon, 4GB GDDR5, 128 Bits - PJ7R240DR5","R$ 439,99",https://www.kabum.com.br/produto/317940/placa-de-video-r7-240-pcyes-amd-radeon-4gb-gddr5-128-bits-pj7r240dr5,05/12/2022 05:32:19
9,"Placa De Vídeo Radeon Rx 560 4GB, Gddr5 Afrx560d-4096d5h4-v2 Afox","R$ 780,00",https://www.kabum.com.br/produto/306305/placa-de-video-radeon-rx-560-4gb-gddr5-afrx560d-4096d5h4-v2-afox,05/12/2022 05:32:19
10,"Placa de Vídeo RX 6750 XT Mech MSI AMD Radeon, 12GB GDDR6, Ray Tracing - RX 6750 XT MECH 2X 12G OC","R$ 3.299,99",https://www.kabum.com.br/produto/387422/placa-de-video-rx-6750-xt-mech-msi-amd-radeon-12gb-gddr6-ray-tracing-rx-6750-xt-mech-2x-12g-oc,05/12/2022 05:32:19
11,"Placa De Vídeo AFOX Nvidia Rx580-8gd5 Snake, RAM 8GB, Display port, DVI, HDMI","R$ 1.071,00",https://www.kabum.com.br/produto/306347/placa-de-video-afox-nvidia-rx580-8gd5-snake-ram-8gb-display-port-dvi-hdmi,05/12/2022 05:32:19
12,"Placa de Vídeo RX 6400 XFX Speedster SWFT105 AMD Radeon Gaming, 4GB GDDR6, Ray Tracing, RDNA2 - RX-64XL4SFG2","R$ 919,99",https://www.kabum.com.br/produto/353517/placa-de-video-rx-6400-xfx-speedster-swft105-amd-radeon-gaming-4gb-gddr6-ray-tracing-rdna2-rx-64xl4sfg2,05/12/2022 05:32:19
13,"Placa de Vídeo RX 6600 XFX Core Gaming Speedster SWFT 210 AMD Radeon Graphics Card, 8GB GDDR6, AMD RDNA 2 - RX-66XL8LFDQ","R$ 2.199,99",https://www.kabum.com.br/produto/261040/placa-de-video-rx-6600-xfx-core-gaming-speedster-swft-210-amd-radeon-graphics-card-8gb-gddr6-amd-rdna-2-rx-66xl8lfdq,05/12/2022 05:32:19
14,"Placa de Vídeo RX 6650 XT XFX Speedster QICK308 AMD Radeon Ultra Gaming, 8GB GDDR6, Ray Tracing, RDNA2 - RX-665X8LUDY QICK308 ULTRA","R$ 3.199,99",https://www.kabum.com.br/produto/353519/placa-de-video-rx-6650-xt-xfx-speedster-qick308-amd-radeon-ultra-gaming-8gb-gddr6-ray-tracing-rdna2-rx-665x8ludy-qick308-ultra,05/12/2022 05:32:19
15,"Placa de Video Power Color Radeon AXRX 6400, 4GB GDDR6 - AXRX64004GBD6-DH","R$ 929,99",https://www.kabum.com.br/produto/371237/placa-de-video-power-color-radeon-axrx-6400-4gb-gddr6-axrx64004gbd6-dh,05/12/2022 05:32:19
16,"Placa de Vídeo RX 6700 XT Challenger D ASRock AMD Radeon, 12GB GDDR6, Ray Tracing - 90-GA2KZZ-00UANH","R$ 3.669,99",https://www.kabum.com.br/produto/377578/placa-de-video-rx-6700-xt-challenger-d-asrock-amd-radeon-12gb-gddr6-ray-tracing-90-ga2kzz-00uanh,05/12/2022 05:32:19
17,"Placa de Vídeo RX 6650 XT Pulse Gaming OC Sapphire, 8GB GDDR6, Arquitetura RDNA2, Ray Tracing - 11319-03-20G","R$ 2.699,99",https://www.kabum.com.br/produto/351601/placa-de-video-rx-6650-xt-pulse-gaming-oc-sapphire-8gb-gddr6-arquitetura-rdna2-ray-tracing-11319-03-20g,05/12/2022 05:32:19
18,"Placa de Vídeo RX 6500 XT Gaming D OC ASRock Radeon Phantom, 4GB, GDDR6, 64 Bit, Dual Fan - 90-GA3DZZ-00UANF","R$ 1.599,99",https://www.kabum.com.br/produto/298017/placa-de-video-rx-6500-xt-gaming-d-oc-asrock-radeon-phantom-4gb-gddr6-64-bit-dual-fan-90-ga3dzz-00uanf,05/12/2022 05:32:19
19,"Placa de Vídeo RX 6500 XT MECH 2X 4G OC MSI AMD Radeon, 4GB GDDR6, AMD RDNA 2 - Radeon RX 6500 XT MECH 2X 4G OC","R$ 1.539,99",https://www.kabum.com.br/produto/308481/placa-de-video-rx-6500-xt-mech-2x-4g-oc-msi-amd-radeon-4gb-gddr6-amd-rdna-2-radeon-rx-6500-xt-mech-2x-4g-oc,05/12/2022 05:32:19
20,"Placa de Vídeo RX 550 Asus Phoenix AMD Radeon, 4GB, GDDR5 - PH-RX550-4G-EVO","R$ 754,99",https://www.kabum.com.br/produto/129772/placa-de-video-rx-550-asus-phoenix-amd-radeon-4gb-gddr5-ph-rx550-4g-evo,05/12/2022 05:32:19
21,"Placa de Vídeo RX 550 Duex AMD Radeon, 4GB, DDR5 - DXRX5504GB","R$ 679,99",https://www.kabum.com.br/produto/255155/placa-de-video-rx-550-duex-amd-radeon-4gb-ddr5-dxrx5504gb,05/12/2022 05:32:19
22,"Placa de Vídeo RX 6650 XT Nitro+ Gaming OC Sapphire, ARGB, 8GB GDDR6, Arquitetura RDNA2, Ray Tracing - 11319-01-20G","R$ 2.699,99",https://www.kabum.com.br/produto/351580/placa-de-video-rx-6650-xt-nitro-gaming-oc-sapphire-argb-8gb-gddr6-arquitetura-rdna2-ray-tracing-11319-01-20g,05/12/2022 05:32:19
23,"Placa de Vídeo RX 6600 XT XFX Speedster SWFT210 AMD Radeon, 8GB GDDR6, 16Gbps, AMD RDNA 2 Architecture - RX-66XT8DFDQ","R$ 2.599,99",https://www.kabum.com.br/produto/187640/placa-de-video-rx-6600-xt-xfx-speedster-swft210-amd-radeon-8gb-gddr6-16gbps-amd-rdna-2-architecture-rx-66xt8dfdq,05/12/2022 05:32:19
