Produto;PreÁo;Link;Data;Fabricante;Modelo
Placa de VÌdeo RTX 2060 Ventus GP OC MSI NVIDIA GeForce, 6GB GDDR6, Ray Tracing - GeForce RTX 2060 VENTUS GP OC;R$ 1.759,99;https://www.kabum.com.br/produto/357660/placa-de-video-rtx-2060-ventus-gp-oc-msi-nvidia-geforce-6gb-gddr6-ray-tracing-geforce-rtx-2060-ventus-gp-oc;05/12/2022 05:58;MSI;RTX 2060 
Placa de VÌdeo RTX 3060 Ventus 2X MSI NVIDIA GeForce, 12GB GDDR6, DLSS, Ray Tracing;R$ 2.499,99;https://www.kabum.com.br/produto/384627/placa-de-video-rtx-3060-ventus-2x-msi-nvidia-geforce-12gb-gddr6-dlss-ray-tracing;05/12/2022 05:58;MSI;RTX 3060 
Placa de Video PNY NVIDIA Geforce RTX 3060TI Dual Fan, 8GB GDDR6, LHR, DLSS, Ray Tracing - VCG3060T8LDFBPB1;R$ 2.799,99;https://www.kabum.com.br/produto/384635/placa-de-video-pny-nvidia-geforce-rtx-3060TI-dual-fan-8gb-gddr6-lhr-dlss-ray-tracing-vcg3060t8ldfbpb1;05/12/2022 05:58;PNY;RTX 3060 TI
Placa de VÌdeo RTX 3070 MSI Ventus 3X Plus NVIDIA GeForce, 8GB GDDR6, LHR, DLSS, Ray Tracing - GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR;R$ 3.699,99;https://www.kabum.com.br/produto/377636/placa-de-video-rtx-3070-msi-ventus-3x-plus-nvidia-geforce-8gb-gddr6-lhr-dlss-ray-tracing-geforce-rtx-3070-ventus-3x-plus-8g-oc-lhr;05/12/2022 05:58;MSI;RTX 3070 
Placa de VÌdeo GTX 1660 Super Twin Fan Zotac Gaming NVIDIA GeForce, 6 GB GDDR6 - ZT-T16620F-10L;R$ 1.299,99;https://www.kabum.com.br/produto/110396/placa-de-video-gtx-1660-super-twin-fan-zotac-gaming-nvidia-geforce-6-gb-gddr6-zt-t16620f-10l;05/12/2022 05:58;Zotac;GTX 1660 Super
Placa de VÌdeo RTX 2060 Twin Fan Zotac Gaming NVIDIA GeForce, 12GB, GDDR6, Ray Tracing - ZT-T20620F-10M;R$ 1.799,99;https://www.kabum.com.br/produto/288322/placa-de-video-rtx-2060-twin-fan-zotac-gaming-nvidia-geforce-12gb-gddr6-ray-tracing-zt-t20620f-10m;05/12/2022 05:58;Zotac;RTX 2060 
Placa de VÌdeo RTX 3060 1-Click OC LHR Galax GeForce, 12GB GDDR6, 15 Gbps, Ray Tracing, DLSS - 36NOL7MD1VOC;R$ 2.499,99;https://www.kabum.com.br/produto/150657/placa-de-video-rtx-3060-1-click-oc-lhr-galax-geforce-12gb-gddr6-15-gbps-ray-tracing-dlss-36nol7md1voc;05/12/2022 05:58;Galax;RTX 3060 
Placa de VÌdeo RTX 2060 KO Ultra Gaming EVGA NVIDIA GeForce, 6 GB GDDR6 - 06G-P4-2068-KR;R$ 1.609,99;https://www.kabum.com.br/produto/113182/placa-de-video-rtx-2060-ko-ultra-gaming-evga-nvidia-geforce-6-gb-gddr6-06g-p4-2068-kr;05/12/2022 05:58;EVGA;RTX 2060 
Placa de VÌdeo GTX 1660 Super (1-Click OC) Galax NVIDIA GeForce, 6GB, GDDR6 - 60SRL7DSY91S;R$ 1.399,99;https://www.kabum.com.br/produto/106897/placa-de-video-gtx-1660-super-1-click-oc-galax-nvidia-geforce-6gb-gddr6-60srl7dsy91s;05/12/2022 05:58;Galax;GTX 1660 Super
Placa de VÌdeo RTX 3060 VISION OC 12G Gigabyte GeForce, 12GB GDDR6, RGB Fusion, Ray Tracing, Metal Back Plate - GV-N3060VISION OC-12GD;R$ 2.799,99;https://www.kabum.com.br/produto/150631/placa-de-video-rtx-3060-vision-oc-12g-gigabyte-geforce-12gb-gddr6-rgb-fusion-ray-tracing-metal-back-plate-gv-n3060vision-oc-12gd;05/12/2022 05:58;Gigabyte;RTX 3060 
